,id,balance_time,LTV_time,interest_rate_time,rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,status_time
11,32761,82981.17,63.8744728,4.25,4.14,189.82,2.8363581757,5.7,0,0,1,0,104000.0,741,81.3,0.0,186.91,0
11,32752,184459.1,72.075906458,5.125,4.14,189.82,2.8363581757,5.7,1,0,0,0,226800.0,762,90.0,0.0,186.91,0
11,32739,45297.8,59.49771036,5.125,4.14,189.82,2.8363581757,5.7,0,0,1,0,56000.0,644,74.7,0.0,186.91,0
11,32721,83551.95,44.739792738,4.0,4.14,189.82,2.8363581757,5.7,0,0,1,0,105000.0,642,57.1,0.0,186.91,0
11,32713,69900.67,86.58576436799999,4.5,4.14,158.94,2.3664098988999998,8.2,0,0,1,0,75000.0,687,79.0,0.0,186.91,1
11,32711,265489.17,85.155356279,6.375,4.14,153.35,-4.146710947,9.0,1,0,0,0,266000.0,703,70.0,0.0,186.91,1
11,32701,249466.42,55.11743834,5.625,5.15,189.82,2.8363581757,5.7,0,0,0,1,300000.0,766,55.6,0.0,226.29,0
11,32698,81539.5,129.80253726,5.0,5.15,156.21,1.5859655122,9.8,0,0,1,0,86450.0,804,95.0,0.0,226.29,1
11,32696,305120.58,84.199817039,3.375,5.15,189.82,2.8363581757,5.7,0,0,0,1,302400.0,742,70.0,0.0,226.29,0
11,32674,385545.15,82.074946936,3.625,5.15,189.82,2.8363581757,5.7,0,0,0,1,392000.0,733,70.0,0.0,226.29,0
11,32661,146828.19,127.49941885,4.0,5.15,153.35,-4.146710947,9.0,0,0,1,0,156850.0,654,92.3,4.0,226.29,1
11,32660,151727.43,110.79901941,4.125,5.15,154.94,2.4566338212,8.2,1,0,0,0,150000.0,668,75.0,0.0,226.29,1
11,32657,533213.01,94.874462399,3.625,5.15,189.82,2.8363581757,5.7,0,0,1,0,536000.0,762,80.0,0.0,226.29,0
11,32644,92793.06,109.07589449,5.84,5.15,149.58,1.6681823188,8.8,0,0,1,0,102960.0,685,80.0,0.0,226.29,1
11,32642,134487.96,97.146315703,3.875,5.15,189.82,2.8363581757,5.7,0,0,1,0,135000.0,632,81.8,0.0,226.29,0
11,32638,123630.1,70.15434378100001,6.625,5.15,189.82,2.8363581757,5.7,0,0,1,0,150000.0,585,71.4,0.0,226.29,0
11,32630,190084.02,111.32016792,3.375,5.15,161.0,3.0294986398000003,9.4,0,0,1,0,192000.0,734,80.0,0.0,226.29,1
11,32627,147216.59,119.67472584,6.5,5.15,146.45,2.7159028845999997,8.3,0,0,1,0,147500.0,688,77.6,6.5,226.29,1
11,32625,75064.22,111.64535373,5.0,5.15,161.0,3.0294986398000003,9.4,1,0,0,1,75600.0,674,80.0,0.0,226.29,1
11,32620,371454.39,77.44608519,3.5,5.15,189.82,2.8363581757,5.7,0,0,1,1,359650.0,701,62.9,0.0,226.29,0
11,32611,312481.8,120.10875381,7.125,5.15,146.45,2.7159028845999997,8.3,0,0,1,0,321600.0,653,80.0,7.125,226.29,1
11,32610,382848.28,117.69744767,6.875,5.15,153.35,-4.146710947,9.0,0,0,1,0,384000.0,699,80.0,6.875,226.29,1
