id,balance_time,LTV_time,interest_rate_time,rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,status_time
31664,89995.06,131.4575127,7.5,4.34,156.21,1.585965512,9.8,0,0,1,0,90250,641,95,7.5,216.77,1
31659,83249.21,111.8491034,9.45,4.64,153.35,-4.146710947,9,0,0,1,0,85000,539,77.8,9.45,225.1,1
31650,548553.13,111.9706252,5,4.39,161.06,2.682496806,9.9,0,0,1,0,540000,579,80,8.45,221.91,1
31649,402118.55,97.07617729,6.725,4.64,188.37,2.868593825,6.2,0,0,1,0,470250,766,95,6.725,225.1,1
31642,248309.43,97.01106923,6.35,4.34,156.21,1.585965512,9.8,0,0,1,0,260000,634,73.2,6.35,216.77,1
31641,198569.86,83.09825348,5,4.39,156.04,2.694110549,9.4,0,0,1,0,200500,676,59,5,221.91,1
31638,204117.41,116.0861927,7.5,4.34,156.21,1.585965512,9.8,0,0,0,0,207400,617,85,7.5,216.77,1
31617,104234.31,107.8325208,7.5,4.34,158.77,-3.339549297,9.5,0,0,1,0,105580,580,80,7.45,216.77,1
31603,147658.39,106.514087,8.99,4.34,158.16,-0.241080652,10,0,0,1,0,152000,576,80,8.99,216.77,1
31595,405903.6,127.1544999,6.8,4.64,156.21,1.585965512,9.8,0,0,0,0,414000,762,90,6.8,225.1,1
31583,621000,120.1801421,5.8,4.64,156.21,1.585965512,9.8,0,1,0,0,621000,681,83.4,5.8,225.1,1
31580,256773.22,102.8518193,5,4.64,156.04,2.694110549,9.4,0,0,1,0,248500,528,69,8.475,225.1,1
31577,150671.12,128.1851304,8.15,4.64,155.61,1.175909032,9,0,0,1,0,160000,710,94.1,8.15,225.1,1
31576,332398.07,94.80914142,8.4,4.64,161.06,2.682496806,9.9,0,0,1,1,343000,632,70,8.4,225.1,1
31571,364018.79,97.22446533,2,4.39,173.17,0.892996155,7.6,0,0,1,0,368000,555,76.7,8.8,221.91,1
31567,594732.71,117.9000883,6.45,4.34,156.21,1.585965512,9.8,0,0,1,0,595000,704,85,6.45,216.77,1
31550,77035.58,135.317701,9.45,4.34,156.21,1.585965512,9.8,0,0,1,0,71100,579,90,9.45,216.77,1
31538,338161.66,98.08760325,5,4.39,161.13,1.081049418,8,0,1,0,1,379840,653,80,5,221.91,1
31518,60608.33,109.0207485,5,4.65,158.6,1.269044263,7.8,0,0,0,0,61600,594,80,5,219.67,1
31512,175917.69,142.6327183,7.375,4.65,146.45,2.715902885,8.3,0,0,0,0,175750,581,95,7.375,219.67,1
31511,86065.97,132.4513916,9.95,4.65,158.6,1.269044263,7.8,0,0,0,0,85500,566,95,9.95,219.67,1
31499,76339.92,128.5912908,11.875,4.65,161,3.02949864,9.4,0,0,0,0,76950,596,95,11.875,219.67,1
31496,574795.18,111.926508,7.125,4.64,156.21,1.585965512,9.8,0,0,0,0,575000,656,77.7,7.125,225.1,1
31492,328147.55,132.3615755,5,4.64,150.91,1.875514938,9.2,0,0,0,0,316917,576,85.7,5,225.1,1
31479,158805.87,117.7633998,6.5,5.15,158.16,-0.241080652,10,0,0,1,0,164000,689,85,6.5,226.29,1
31473,101991.83,130.6659239,5,5.15,154.94,2.456633821,8.2,0,1,0,0,91200,624,80,9.75,226.29,1
31472,47623.29,89.47651725,9,4.64,187.2,2.556051733,6.2,0,0,1,0,51200,681,80,9,225.1,1
31469,207200,115.8901479,7.25,5.15,156.21,1.585965512,9.8,0,0,1,0,207200,627,80,6.875,226.29,1
31468,142278,70.22750825,2,4.64,180.07,2.422274869,7.2,0,0,1,0,136000,584,53.7,0,225.1,1
31463,496933.89,125.2579394,6.875,5.15,156.21,1.585965512,9.8,0,0,1,0,499999,668,87,6.875,226.29,1
31461,172000,115.8901479,8.5,5.15,156.21,1.585965512,9.8,0,0,1,0,172000,574,80,8.5,226.29,1
31460,202913.22,103.1253532,8.375,4.64,161.06,2.682496806,9.9,0,1,0,1,206250,569,75,8.375,225.1,1
31458,128484.85,126.1138425,7.875,4.64,158.16,-0.241080652,10,0,0,1,0,130500,605,90,7.875,225.1,1
31455,67024.96,111.6024788,8.875,5.15,156.21,1.585965512,9.8,0,0,0,1,69600,733,80,8.55,226.29,1
